Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
insur,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
second,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
congress,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
start,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
transfer,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
progress,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
twice,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
iran,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
appoint,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
brother,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
despit,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
lose,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
side,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
age,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
repres,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
shortli,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
counsel,0.0019157088122605363,0.0015105740181268882,0.0004051347941336481
republican,0.005747126436781609,0.006042296072507553,0.00029516963572594375
